Jul  6 00:30:00 Drs-MacBook-Pro newsyslog[1057]: logfile turned over
Mon Jul  6 00:54:31.014 <kernel> AWDL Sync Enabled 1, data path state[1]
Mon Jul  6 00:54:44.203 <kernel> AWDL Sync Enabled 0, data path state[1]
Mon Jul  6 00:55:13.030 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 01:14:27.990 <airport[198]> -[dpsManager handleDPSEventWithType:eventInfo:networkName:BSSID:channelInfo:isCriticalAppInUse:]_block_invoke: Ignoring non-dps events while not in monitoring period/ Ignoring DPS event while in monitoring period
Mon Jul  6 01:14:28.753 <airport[198]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Mon Jul  6 01:18:35.168 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 01:18:35.168 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 01:18:35.168 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.244
Mon Jul  6 01:18:35.168 <kernel> wl0: setup_keepalive: Local port: 49153, Remote port: 5223
Mon Jul  6 01:18:35.168 <kernel> wl0: setup_keepalive: Seq: 1349804962, Ack: 801828453, Win size: 2048
Mon Jul  6 01:18:35.168 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 01:18:35.168 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 01:18:35.169 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 01:18:35.169 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:adbe:933:22ae:bef4
Mon Jul  6 01:18:35.169 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 01:25:56.001 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Mon Jul  6 01:25:56.001 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Mon Jul  6 01:25:56.001 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1349804962, Ack: 801828453, Win size: 2048
Mon Jul  6 01:25:56.001 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1349805416, Ack 801828453, Win size 249
Mon Jul  6 01:25:56.001 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Mon Jul  6 01:25:56.002 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Mon Jul  6 01:25:56.002 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Mon Jul  6 01:25:56.013 <airport[198]> _configureTCPKeepAlive: Unable to enable TCP keep-alive on en0 (Device power is off)
Mon Jul  6 01:25:56.025 <kernel>  IOCTL (from pid 198) not recognized: 381 out of 380
Mon Jul  6 01:25:56.709 <kernel> en0: setting diversity to: -1
Mon Jul  6 01:25:56.709 <kernel> en0: Error configuring antenna diversity (index = -1).
Mon Jul  6 01:25:56.709 <kernel> en0: setting tx antenna: -1
Mon Jul  6 01:25:56.709 <kernel> en0: Error configuring transmit antenna (index = -1).
Mon Jul  6 01:25:56.745 <airport[198]> ERROR: sharingd (483) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:25:56.750 <airport[198]> ERROR: rapportd (400) is not entitled for com.apple.wifi.join_history, will not allow request
Mon Jul  6 01:25:56.825 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Mon Jul  6 01:26:03.049 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Mon Jul  6 01:26:03.049 <kernel> wl0: setup_keepalive: Local IP: 192.168.152.111
Mon Jul  6 01:26:03.049 <kernel> wl0: setup_keepalive: Remote IP: 17.57.144.244
Mon Jul  6 01:26:03.049 <kernel> wl0: setup_keepalive: Local port: 49153, Remote port: 5223
Mon Jul  6 01:26:03.049 <kernel> wl0: setup_keepalive: Seq: 1349805510, Ack: 801828477, Win size: 2048
Mon Jul  6 01:26:03.049 <kernel> wl0: MDNS: IPV4 Addr: 192.168.152.111
Mon Jul  6 01:26:03.049 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:47f:4ac7:538d:e07d
Mon Jul  6 01:26:03.049 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:18e6:e8c2:9e8d:5e55
Mon Jul  6 01:26:03.049 <kernel> wl0: MDNS: IPV6 Addr: 2600:382:1883:5a15:adbe:933:22ae:bef4
Mon Jul  6 01:26:03.049 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Mon Jul  6 01:26:04.397 <airport[198]> airportdProcessDLILEvent: <en0> event=1, flags=0xFFFF8863, lastPowerPref=on
Mon Jul  6 01:26:04.397 <airport[198]> airportdProcessDLILEvent: en0 marked UP, applying user power preferences (ON).
