  PID   TT  STAT      TIME COMMAND
    1   ??  Ss     0:12.28 /sbin/launchd
   99   ??  Ss     0:02.75 /usr/libexec/logd
  100   ??  Ss     0:00.92 /usr/libexec/UserEventAgent (System)
  103   ??  Ss     0:00.08 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  104   ??  Ss     0:07.97 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  105   ??  Ss     0:00.71 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  108   ??  Ss     0:01.15 /usr/sbin/systemstats --daemon
  110   ??  Ss     0:01.14 /usr/libexec/configd
  111   ??  Ss     0:00.01 endpointsecurityd
  112   ??  Ss     0:02.03 /System/Library/CoreServices/powerd.bundle/powerd
  116   ??  Ss     0:00.07 /usr/libexec/remoted
  118   ??  Ss     0:00.41 /usr/libexec/keybagd -t 15
  119   ??  Ss     0:00.20 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  121   ??  Ss     0:00.12 /usr/libexec/watchdogd
  125   ??  Ss     1:29.46 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  126   ??  Ss     0:00.15 /System/Library/CoreServices/iconservicesd
  127   ??  Ss     0:03.17 /usr/libexec/kernelmanagerd
  128   ??  Ss     0:00.76 /usr/libexec/diskarbitrationd
  131   ??  Ss     0:01.53 /usr/libexec/coreduetd
  132   ??  Ss     0:00.19 /usr/sbin/syslogd
  135   ??  Ss     0:00.03 /usr/libexec/thermalmonitord
  136   ??  Ss     0:05.43 /usr/libexec/opendirectoryd
  137   ??  Ss     0:01.18 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  138   ??  Ss     0:00.93 /System/Library/CoreServices/launchservicesd
  139   ??  Ss     0:00.16 /usr/libexec/timed
  140   ??  Ss     0:00.23 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  141   ??  Ss     0:02.12 /usr/sbin/securityd -i
  142   ??  Ss     0:00.01 auditd -l
  147   ??  Ss     0:00.02 autofsd
  148   ??  Ss     0:00.06 /usr/libexec/displaypolicyd -k 1
  149   ??  Ss     0:02.62 /usr/libexec/dasd
  150   ??  Ss     0:00.22 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  152   ??  Ss     0:00.17 /usr/sbin/distnoted daemon
  153   ??  Ss     0:00.05 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  154   ??  Ss     0:02.49 /usr/libexec/PerfPowerServices
  156   ??  Ss     0:00.11 /System/Library/CoreServices/logind
  157   ??  Ss     0:00.13 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  158   ??  Ss     0:00.02 /usr/sbin/KernelEventAgent
  160   ??  Ss     0:00.69 /usr/sbin/bluetoothd
  161   ??  Ss     0:01.54 /usr/sbin/notifyd
  162   ??  Ss     0:00.10 /usr/libexec/sandboxd
  163   ??  Ss     0:03.52 /usr/libexec/corebrightnessd --launchd
  164   ??  Ss     0:00.37 /usr/libexec/AirPlayXPCHelper
  165   ??  Ss     0:00.07 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  166   ??  Ss     0:02.13 /usr/sbin/cfprefsd daemon
  167   ??  Us     2:13.17 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  168   ??  Ss     0:03.09 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  169   ??  Ss     0:00.03 aslmanager
  170   ??  Ss     0:03.49 /usr/libexec/trustd
  171   ??  Ss     0:01.00 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  172   ??  Ss     0:04.25 /usr/libexec/syspolicyd
  174   ??  Ss     0:00.36 /System/Library/CoreServices/coreservicesd
  177   ??  Ss     0:00.45 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  182   ??  S      0:00.06 /usr/sbin/distnoted agent
  183   ??  Ss     0:00.05 /usr/libexec/taskgated
  188   ??  Ss     0:03.28 /usr/libexec/runningboardd
  198   ??  Ss     0:01.24 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  199   ??  Ss     0:00.08 /usr/libexec/PowerUIAgent
  200   ??  Ss     0:02.65 /usr/libexec/airportd
  201   ??  Ss     0:01.76 /usr/sbin/coreaudiod
  205   ??  Ss     0:00.79 /usr/libexec/nehelper
  206   ??  Ss     0:03.35 /usr/libexec/symptomsd
  208   ??  Ss     0:00.15 /usr/libexec/findmydeviced
  214   ??  Ss     0:01.91 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  215   ??  Ss     0:01.28 /usr/sbin/mDNSResponder
  220   ??  Ss     0:00.48 /usr/libexec/diskmanagementd
  221   ??  Ss     0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  222   ??  Ss     0:00.13 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  233   ??  Ss     0:09.15 /usr/libexec/mobileassetd
  234   ??  Ss     0:00.21 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  235   ??  Ss     0:00.19 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  236   ??  Ss     0:00.22 /usr/sbin/mDNSResponderHelper
  237   ??  Ss     0:00.65 /usr/libexec/lsd runAsRoot
  238   ??  Ss     0:00.15 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  239   ??  S      0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  241   ??  S      0:00.06 /usr/sbin/distnoted agent
  243   ??  Ss     0:00.88 /usr/libexec/nsurlsessiond --privileged
  244   ??  Ss     0:00.03 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  246   ??  Ss     0:00.04 /usr/libexec/apfsd
  247   ??  Ss     0:00.40 Core Audio Driver (BlackHole16ch.driver)
  248   ??  Ss     0:00.04 /usr/libexec/amfid
  249   ??  Ss     0:00.06 /usr/libexec/usbd
  251   ??  S      0:00.06 /usr/sbin/distnoted agent
