Processes: 381 total, 2 running, 379 sleeping, 1166 threads 
2026/07/12 09:29:41
Load Avg: 0.81, 1.01, 1.80 
CPU usage: 6.97% user, 25.58% sys, 67.44% idle 
SharedLibs: 508M resident, 98M data, 40M linkedit.
MemRegions: 29481 total, 1446M resident, 230M private, 855M shared.
PhysMem: 6600M used (1361M wired), 1592M unused.
VM: 12T vsize, 3153M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 38691/43M in, 20842/2059K out.
Disks: 225736/3426M read, 120623/2067M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS    %CPU_ME %CPU_OTHRS UID FAULTS   COW  MSGSENT MSGRECV SYSBSD   SYSMACH CSW     PAGEINS IDLEW  POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
1092  top              0.0  00:00.11 1/1   0   15     1476K 0B    0B    1092 866  running  *0[1]     0.00000 0.00000    0   1101     106  88465   44232   1694     46593   72      0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
1091  mdworker_shared  0.0  00:00.07 4     1   49     1088K 0B    0B    1091 1    sleeping *0[1]     0.00000 0.00000    501 5368     169  517     230     1498     691     88      0       1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
1069  memoryanalyticsd 0.0  00:00.02 2     1   37     1020K 0B    0B    1069 1    sleeping  0[0]     0.00000 0.00000    0   1149     120  111     48      853      250     110     1       2      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
1067  QuickLookUIServi 0.0  00:00.06 3     1   144    2580K 0B    0B    1067 1    sleeping  0[9]     0.00000 0.00000    501 3956     282  612     217     1945     1380    646     0       3      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
1066  com.apple.appkit 0.0  00:06.37 3     1   283    22M   680K  0B    1066 1    sleeping  0[122]   0.00000 0.00000    501 101910   1232 33195   11212   101113   79830   28889   213     350    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
1001  keyboardservices 0.0  00:00.13 2     1   51     2044K 52K   0B    1001 1    sleeping *0[4]     0.00000 0.00000    501 2965     185  230     101     4374     705     600     14      11     0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
1000  AppleSpell       0.0  00:00.30 2     1   100    5804K 80K   0B    1000 1    sleeping *0[1]     0.00000 0.00000    501 7133     330  525     152     6288     1393    1317    108     12     0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
994   bash             0.0  00:00.06 1     0   21     1104K 0B    0B    994  993  sleeping *0[1]     0.00000 0.00000    501 1528     384  105     44      3667     199     392     0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
993   login            0.0  00:00.01 2     1   32     1168K 0B    0B    993  552  sleeping *0[9]     0.00000 0.00000    0   1528     199  83      33      3969     246     96      0       1      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
992   LookupViewServic 0.0  00:00.28 3     1   188    7004K 16K   0B    992  1    sleeping  0[10]    0.00000 0.00000    501 10450    400  1133    318     6523     2722    1606    7       15     0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
979   com.apple.CloudD 0.0  00:00.09 3     2   58     1484K 0B    0B    979  1    sleeping *0[1]     0.00000 0.00000    501 3097     210  973     511     3420     1212    622     2       6      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
977   PlugInLibrarySer 0.0  00:00.01 2     1   25     612K  0B    0B    977  1    sleeping *0[1]     0.00000 0.00000    501 779      105  112     43      405      223     65      0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
970   LinkedNotesUISer 0.0  00:00.18 3     1   159    4084K 1428K 0B    970  1    sleeping *0[1]     0.00000 0.00000    501 5762     335  1411    325     3240     3869    2061    5       30     0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
943   bash             0.0  00:00.08 1     0   21     1132K 0B    0B    943  942  sleeping *0[1]     0.00000 0.00000    501 2627     1008 136     59      6351     214     489     0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
942   login            0.0  00:00.01 2     1   32     1148K 0B    0B    942  552  sleeping *0[9]     0.00000 0.00000    0   1518     194  83      33      3933     246     91      0       1      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
866   bash             0.0  00:00.11 1     0   21     1128K 0B    0B    866  865  sleeping *0[1]     0.00000 0.00000    501 2955     1081 134     58      9729     213     688     0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
865   login            0.0  00:00.02 2     1   32     1212K 0B    0B    865  552  sleeping *0[9]     0.00000 0.00000    0   1537     195  83      33      4105     246     90      0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
836   mdworker         0.0  00:00.05 2     1   44     1100K 0B    0B    836  1    sleeping *0[1]     0.00000 0.00000    89  2465     181  138     44      900      301     92      3       0      0.0   0      0      _spotlight             N/A    N/A   N/A   N/A   N/A   N/A  
814   bash             0.0  00:00.15 1     0   21     1132K 0B    0B    814  813  sleeping *0[1]     0.00000 0.00000    501 4212     1738 163     74      16525    228     722     0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
813   login            0.0  00:00.01 2     1   32     1128K 0B    0B    813  552  sleeping *0[9]     0.00000 0.00000    0   1507     194  83      33      3939     246     90      1       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
732   proactiveeventtr 0.0  00:00.04 2     1   50     900K  0B    0B    732  1    sleeping *0[1]     0.00000 0.00000    501 2018     148  156     54      880      352     143     1       1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
729   SafariBookmarksS 0.0  00:00.22 2     1   65     11M   232K  0B    729  1    sleeping *0[1]     0.00000 0.00000    501 15767    2255 283     111     3865     1101    501     237     8      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
728   AssetCacheLocato 0.0  00:00.10 3     1   72     1244K 0B    0B    728  1    sleeping *0[1]     0.00000 0.00000    501 3297     184  272     84      2408     692     661     2       82     0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
727   PasswordBreachAg 0.0  00:00.18 2     1   73     2812K 0B    0B    727  1    sleeping  0[0]     0.00000 0.00000    501 6487     462  231     68      2797     597     900     38      123    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
721   avatarsd         0.0  00:00.58 2     1   61     3096K 232K  0B    721  1    sleeping *0[9]     0.00000 0.00000    501 12146    269  285     126     5604     1952    1239    778     8      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
720   biomesyncd       0.0  00:00.08 2     1   52     1128K 76K   0B    720  1    sleeping *0[2]     0.00000 0.00000    501 2342     165  164     55      1130     421     240     2       1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
716   adprivacyd       0.0  00:00.27 3     1   76     2356K 72K   0B    716  1    sleeping *0[8]     0.00000 0.00000    501 4379     232  475     168     5868     1548    1844    14      130    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
715   online-authd     0.0  00:00.01 2     1   26     556K  0B    0B    715  1    sleeping *1[2]     0.00000 0.00000    0   700      103  102     47      386      203     83      0       2      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
712   tipsd            0.0  00:00.25 2     1   108    2448K 16K   0B    712  1    sleeping *0[5]     0.00000 0.00000    501 5152     285  510     149     5236     1267    1725    55      118    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
708   netbiosd         0.0  00:00.06 2     1   24     804K  0B    0B    708  1    sleeping *0[1]     0.00000 0.00000    222 1964     144  120     38      929      220     271     2       16     0.0   0      0      _netbios               N/A    N/A   N/A   N/A   N/A   N/A  
707   StatusKitAgent   0.0  00:00.08 3     2   60     1004K 0B    0B    707  1    sleeping *1[1]     0.00000 0.00000    501 2396     150  234     80      1400     598     416     17      3      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
687   bash             0.0  00:00.10 1     0   21     1124K 0B    0B    687  686  sleeping *0[1]     0.00000 0.00000    501 2549     940  129     56      7660     215     636     1       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
686   login            0.0  00:00.02 2     1   32     1108K 0B    0B    686  552  sleeping *0[9]     0.00000 0.00000    0   1506     192  83      33      3926     244     113     0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
682   captiveagent     0.0  00:00.09 4     1   56     752K  0B    0B    682  1    sleeping *0[1]     0.00000 0.00000    258 1975     125  138     72      884      394     344     4       1      0.0   0      0      _captiveagent          N/A    N/A   N/A   N/A   N/A   N/A  
680   progressd        0.0  00:00.32 2     1   50     1732K 0B    0B    680  1    sleeping *0[3]     0.00000 0.00000    501 5553     271  185     61      4122     1589    1671    8       7      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
679   studentd         0.0  00:00.43 2     1   132    4656K 88K   0B    679  1    sleeping *0[1]     0.00000 0.00000    501 7500     481  940     266     7070     2325    2888    17      110    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
670   followupd        0.0  00:00.02 2     1   40     1156K 28K   0B    670  1    sleeping *0[1]     0.00000 0.00000    501 1599     160  128     45      773      296     163     0       1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
667   smd              0.0  00:00.00 2     1   19     484K  0B    0B    667  1    sleeping *0[2]     0.00000 0.00000    0   651      101  87      47      385      187     67      0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
664   wifivelocityd    0.0  00:00.13 2     1   50     1200K 0B    0B    664  1    sleeping *0[7]     0.00000 0.00000    0   3170     189  416     78      2908     1102    663     6       5      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
663   WiFiVelocityAgen 0.0  00:00.05 2     1   41     780K  0B    0B    663  1    sleeping *0[6]     0.00000 0.00000    501 1720     120  170     77      922      449     275     1       2      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
656   bash             0.0  00:00.01 1     0   21     1064K 0B    0B    656  655  sleeping *0[1]     0.00000 0.00000    501 1268     285  101     42      1302     197     39      0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
655   login            0.0  00:00.02 2     1   32     1104K 0B    0B    655  552  sleeping *0[9]     0.00000 0.00000    0   1499     188  83      33      3952     246     86      0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
653   lskdd            0.0  00:00.08 2     0   29     584K  0B    0B    653  1    sleeping *1[1]     0.00000 0.00000    265 1449     105  736     362     875      508     441     0       222    0.0   0      0      _fpsd                  N/A    N/A   N/A   N/A   N/A   N/A  
647   ThumbnailExtensi 0.0  00:00.17 3     2   92     3096K 0B    0B    647  1    sleeping *0[1]     0.00000 0.00000    501 5054     303  629     281     2037     1365    780     2       11     0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
646   mdbulkimport     0.0  00:01.91 2     1   60     2448K 0B    0B    646  1    sleeping *0[1]     0.00000 0.00000    501 18285    202  632     258     29741    9136    4500    2       8      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
645   CategoriesServic 0.0  00:00.02 2     1   35     876K  0B    0B    645  1    sleeping  0[0]     0.00000 0.00000    501 1849     121  165     62      734      412     260     0       3      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
644   CategoriesServic 0.0  00:00.02 2     1   35     848K  0B    0B    644  1    sleeping *0[2]     0.00000 0.00000    501 1690     121  155     55      703      372     125     0       1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
643   CategoriesServic 0.0  00:00.20 2     1   42     1584K 0B    0B    643  1    sleeping *0[1]     0.00000 0.00000    501 5440     126  254     92      2836     1802    638     0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
642   lockoutagent     0.0  00:00.51 4     3   74     1288K 0B    0B    642  1    sleeping *0[1]     0.00000 0.00000    501 2702     153  1980    95      17705    7677    10665   0       1138   0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
641   CategoriesServic 0.0  00:00.16 2     1   61     1892K 92K   0B    641  1    sleeping *0[8]     0.00000 0.00000    501 3869     185  249     82      3528     1096    854     0       114    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
640   CategoriesServic 0.0  00:00.58 2     1   41     2476K 0B    0B    640  1    sleeping *0[1]     0.00000 0.00000    501 9170     132  283     103     8832     5766    2229    0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
627   distnoted        0.0  00:00.03 2     1   29     404K  0B    0B    627  1    sleeping *0[1]     0.00000 0.00000    269 1217     86   99      52      462      253     111     0       0      0.0   0      0      _reportmemoryexception N/A    N/A   N/A   N/A   N/A   N/A  
