Date,Traffic source,Views
2026-04-27,Direct or unknown,2
2026-04-28,Direct or unknown,0
2026-04-29,Direct or unknown,0
2026-04-30,Direct or unknown,0
2026-05-01,Direct or unknown,1
2026-05-02,Direct or unknown,0
2026-05-03,Direct or unknown,0
2026-05-04,Direct or unknown,0
2026-05-05,Direct or unknown,0
2026-05-06,Direct or unknown,0
2026-05-07,Direct or unknown,0
2026-05-08,Direct or unknown,0
2026-05-09,Direct or unknown,0
2026-05-10,Direct or unknown,0
2026-05-11,Direct or unknown,0
2026-05-12,Direct or unknown,0
2026-05-13,Direct or unknown,0
2026-05-14,Direct or unknown,0
2026-05-15,Direct or unknown,0
2026-05-16,Direct or unknown,0
2026-05-17,Direct or unknown,0
2026-05-18,Direct or unknown,1
2026-05-19,Direct or unknown,0
2026-05-20,Direct or unknown,0
2026-05-21,Direct or unknown,0
2026-05-22,Direct or unknown,0
2026-05-23,Direct or unknown,1
2026-05-24,Direct or unknown,0
2026-04-27,Browse features,0
2026-04-28,Browse features,0
2026-04-29,Browse features,0
2026-04-30,Browse features,0
2026-05-01,Browse features,0
2026-05-02,Browse features,0
2026-05-03,Browse features,0
2026-05-04,Browse features,0
2026-05-05,Browse features,0
2026-05-06,Browse features,0
2026-05-07,Browse features,0
2026-05-08,Browse features,0
2026-05-09,Browse features,0
2026-05-10,Browse features,0
2026-05-11,Browse features,0
2026-05-12,Browse features,0
2026-05-13,Browse features,0
2026-05-14,Browse features,0
2026-05-15,Browse features,0
2026-05-16,Browse features,0
2026-05-17,Browse features,0
2026-05-18,Browse features,0
2026-05-19,Browse features,0
2026-05-20,Browse features,0
2026-05-21,Browse features,0
2026-05-22,Browse features,0
2026-05-23,Browse features,1
2026-05-24,Browse features,1
2026-04-27,Channel pages,3
2026-04-28,Channel pages,0
2026-04-29,Channel pages,0
2026-04-30,Channel pages,0
2026-05-01,Channel pages,0
2026-05-02,Channel pages,0
2026-05-03,Channel pages,0
2026-05-04,Channel pages,0
2026-05-05,Channel pages,0
2026-05-06,Channel pages,2
2026-05-07,Channel pages,0
2026-05-08,Channel pages,0
2026-05-09,Channel pages,0
2026-05-10,Channel pages,0
2026-05-11,Channel pages,0
2026-05-12,Channel pages,0
2026-05-13,Channel pages,0
2026-05-14,Channel pages,0
2026-05-15,Channel pages,0
2026-05-16,Channel pages,0
2026-05-17,Channel pages,0
2026-05-18,Channel pages,0
2026-05-19,Channel pages,0
2026-05-20,Channel pages,0
2026-05-21,Channel pages,0
2026-05-22,Channel pages,0
2026-05-23,Channel pages,8
2026-05-24,Channel pages,0
2026-04-27,YouTube search,0
2026-04-28,YouTube search,1
2026-04-29,YouTube search,1
2026-04-30,YouTube search,1
2026-05-01,YouTube search,0
2026-05-02,YouTube search,0
2026-05-03,YouTube search,0
2026-05-04,YouTube search,0
2026-05-05,YouTube search,0
2026-05-06,YouTube search,2
2026-05-07,YouTube search,0
2026-05-08,YouTube search,2
2026-05-09,YouTube search,0
2026-05-10,YouTube search,0
2026-05-11,YouTube search,1
2026-05-12,YouTube search,0
2026-05-13,YouTube search,0
2026-05-14,YouTube search,0
2026-05-15,YouTube search,0
2026-05-16,YouTube search,2
2026-05-17,YouTube search,1
2026-05-18,YouTube search,0
2026-05-19,YouTube search,1
2026-05-20,YouTube search,0
2026-05-21,YouTube search,0
2026-05-22,YouTube search,0
2026-05-23,YouTube search,11
2026-05-24,YouTube search,9
2026-04-27,Suggested videos,0
2026-04-28,Suggested videos,0
2026-04-29,Suggested videos,0
2026-04-30,Suggested videos,0
2026-05-01,Suggested videos,0
2026-05-02,Suggested videos,0
2026-05-03,Suggested videos,0
2026-05-04,Suggested videos,0
2026-05-05,Suggested videos,0
2026-05-06,Suggested videos,0
2026-05-07,Suggested videos,0
2026-05-08,Suggested videos,0
2026-05-09,Suggested videos,0
2026-05-10,Suggested videos,0
2026-05-11,Suggested videos,0
2026-05-12,Suggested videos,0
2026-05-13,Suggested videos,0
2026-05-14,Suggested videos,0
2026-05-15,Suggested videos,0
2026-05-16,Suggested videos,0
2026-05-17,Suggested videos,0
2026-05-18,Suggested videos,0
2026-05-19,Suggested videos,0
2026-05-20,Suggested videos,0
2026-05-21,Suggested videos,0
2026-05-22,Suggested videos,0
2026-05-23,Suggested videos,77
2026-05-24,Suggested videos,5
2026-04-27,Other YouTube features,0
2026-04-28,Other YouTube features,0
2026-04-29,Other YouTube features,0
2026-04-30,Other YouTube features,0
2026-05-01,Other YouTube features,0
2026-05-02,Other YouTube features,0
2026-05-03,Other YouTube features,0
2026-05-04,Other YouTube features,0
2026-05-05,Other YouTube features,0
2026-05-06,Other YouTube features,0
2026-05-07,Other YouTube features,0
2026-05-08,Other YouTube features,0
2026-05-09,Other YouTube features,0
2026-05-10,Other YouTube features,0
2026-05-11,Other YouTube features,0
2026-05-12,Other YouTube features,0
2026-05-13,Other YouTube features,0
2026-05-14,Other YouTube features,0
2026-05-15,Other YouTube features,0
2026-05-16,Other YouTube features,0
2026-05-17,Other YouTube features,0
2026-05-18,Other YouTube features,0
2026-05-19,Other YouTube features,0
2026-05-20,Other YouTube features,0
2026-05-21,Other YouTube features,0
2026-05-22,Other YouTube features,0
2026-05-23,Other YouTube features,0
2026-05-24,Other YouTube features,0
2026-04-27,Shorts feed,0
2026-04-28,Shorts feed,0
2026-04-29,Shorts feed,0
2026-04-30,Shorts feed,0
2026-05-01,Shorts feed,0
2026-05-02,Shorts feed,0
2026-05-03,Shorts feed,0
2026-05-04,Shorts feed,0
2026-05-05,Shorts feed,0
2026-05-06,Shorts feed,0
2026-05-07,Shorts feed,0
2026-05-08,Shorts feed,2
2026-05-09,Shorts feed,0
2026-05-10,Shorts feed,0
2026-05-11,Shorts feed,0
2026-05-12,Shorts feed,0
2026-05-13,Shorts feed,0
2026-05-14,Shorts feed,0
2026-05-15,Shorts feed,0
2026-05-16,Shorts feed,0
2026-05-17,Shorts feed,0
2026-05-18,Shorts feed,0
2026-05-19,Shorts feed,0
2026-05-20,Shorts feed,0
2026-05-21,Shorts feed,0
2026-05-22,Shorts feed,0
2026-05-23,Shorts feed,212
2026-05-24,Shorts feed,0
