Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,348,1.297,0,9634,0.97
awuHl0MC7FQ,"Darkweb NOKIA flip phone from Bogota, Colombia - BW hotel parking lot footage - VID_0098","May 23, 2026",4,212,0.1035,0,0,
gkli1TaQqg8,AndroidGo Illinois state government phone - ELKBLEDOM Bluetooth BLE device connections,"May 23, 2026",1086,19,0.1627,0,1751,0.86
Y3p4_Yb9zz8,AndroidGo Illinois state government phone - More running apps list in settings,"May 23, 2026",217,19,0.0932,0,1937,0.88
8yuwhZhkrdI,AndroidGo Illinois state government phone - Validation tools app - Think coded language,"May 23, 2026",716,16,0.176,0,1893,0.79
W8tvmkBm9OE,AndroidGo Illinois state government phone - SGPS GSM satellite configuration options and examples,"May 23, 2026",952,14,0.1068,0,1783,0.56
Sg5gSBJ8RqM,AndroidGo Illinois state government phone - Wifi and Bluetooth settings,"May 23, 2026",928,11,0.0321,0,740,1.22
gj4GhsiZogw,AndroidGo Illinois state government phone - APK Analyzer data and activities for installed apps,"May 23, 2026",260,6,0.0348,0,481,1.25
9qlm3iMBquU,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Analytics + Hidden Data - Screen Capture,"Oct 10, 2023",3166,5,0.4394,0,0,
2FwRucWG81c,Android Go - Hidden YLog app,"Oct 16, 2023",137,4,0.0359,0,38,7.89
bW0861RTjug,AndroidGo Illinois state government phone - NFC tags app summary,"May 23, 2026",144,4,0.0009,0,35,0
EUU7VSTyZcI,AndroidGo Illinois state government phone - Factory installed default apps,"May 23, 2026",25,4,0.0035,0,40,2.5
ci8WHl9VKm0,AndroidGo Illinois government phone - Bluetooth BLE device standard codes and services,"May 23, 2026",118,4,0.0042,0,26,3.85
GpTKXOHScf0,AndroidGo Illinois state government phone - Manage apps and devices in settings,"May 23, 2026",53,3,0.0128,0,31,3.23
SXxCz14p3J8,"Rape Culture - Howard Sambol - Elon Musk threats, views on victim-hood reiterated - Last hit is free","Apr 25, 2026",2917,3,0.0074,0,27,0
g92kUARBgj0,Chicago CTA Blue Line - 4 digit curvature example,"Dec 7, 2024",19,3,0.0046,0,15,6.67
Y5qUs76AnKM,AndroidGo Illinois state government phone - Oddities with factory installed default apps (see notes),"May 23, 2026",139,2,0.0133,0,34,2.94
GMeD7qGGpnw,UChicago - Not Another Politics podcast - Elon Musk and toiling away all winter in Chicago - Retweet,"Apr 27, 2024",47,2,0.0099,0,34,5.88
Tz-CoK_u-HY,Into Yellowstone Casper Maverick Gas Station - Obligatory Simpson's reference - 20221108_154746910,"Jun 8, 2024",6,2,0.003,0,20,5
x0tcZz3G634,Jesus Christ had a pet turkey - It's about the pigeons and Trump fining people feeding Jesus' family,"Sep 20, 2024",281,1,0.0034,0,3,33.33
coUDAK1uqBE,AndroidGo Illinois state government phone - Default upper swipe menu options and icons,"May 23, 2026",22,1,0.0008,0,12,0
cVWe5ga_VPg,AndroidGo BLU phone - Documents insane babbling loonies XXXXXV - An era of ChimeraX - Fear no evil,"Nov 22, 2023",6,1,0,0,22,0
elEQm6HAuyc,AndroidGo Illinois state government phone - More running apps lists in the settings,"May 23, 2026",79,1,0.0003,0,20,0
Mx6X27GlwJ0,AndroidGo BLU phone - Documents insane babbling loonies XXXXXVI - An era of ChimeraX - Fear no evil,"Nov 22, 2023",9,1,0.0022,0,7,14.29
ePHps6ix86g,Android Go - EngineerMode hidden app - second version with different configuration settings,"Oct 16, 2023",1482,1,0.0013,0,4,25
0JH5T75-2Dc,Apple Notes - Trump's John Gotti moment - Appears after posting the video with the title (see audio),"Apr 20, 2024",44,1,0.0036,0,14,7.14
N8KPFkMe5ws,Getting away from Trump? Living near Anthony/X in Chicago - Big night out - Nov 2023 - V,"Feb 24, 2024",35,1,0.0019,0,3,0
jYVRIDLznWU,ABQ LaVentana (MCDonald) apartment -  Semen on my toothbrush?!? - VID 20221005_145302117,"Jun 17, 2024",5,1,0.0013,0,3,33.33
cqelAXiafHc,"Archive.org - Internet Wayback Machine - Selectively Prunes Useful, but Sensitive Data in Captures 2","Oct 10, 2023",117,1,0.0046,0,15,6.67
mpFQiSHJqAI,Getting away from Trump? Living next to Anthony/X in Chicago - LED light strip torture - 1708269140,"Feb 24, 2024",180,1,0.0011,0,3,0
tQInAnENbuI,Howard Sambol - Ruse prior to Elon Musk's victimless rape culture - Roll of dice: Neptune/Pisces/12,"Apr 25, 2026",3877,1,0.0094,0,47,2.13
YS05KAcqA_c,Tesla car navigation: Notes from a federal employee sold into slavery near a militia compound in WY,"Jul 14, 2025",461,1,0.0013,0,11,9.09
qiPD7AsUSFo,Darkweb ipad - Screen recording - Local Bluetooth - I,"Feb 24, 2024",99,1,0.0083,0,2,50
8gHDGVDeQ7I,"Don Lemon Show audio retweet - James Comey  - Organized mobs, never again, and Trump penis balloons","Jun 11, 2024",50,1,0.0137,0,4,25
