Processes: 473 total, 9 running, 14 stuck, 450 sleeping, 4972 threads 
2026/05/25 23:28:39
Load Avg: 15.43, 13.31, 12.90 
CPU usage: 21.11% user, 52.49% sys, 26.39% idle 
SharedLibs: 179M resident, 50M data, 11M linkedit.
MemRegions: 222600 total, 523M resident, 20M private, 205M shared.
PhysMem: 8165M used (3239M wired), 26M unused.
VM: 16T vsize, 3153M framework vsize, 982560330(0) swapins, 987525651(0) swapouts.
Networks: packets: 30873200/36G in, 15576389/14G out.
Disks: 35553684/3967G read, 28735045/3868G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS    %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
32190  top              0.0  00:00.77 1/1   0   15     6632K 0B    0B    32190 32027 running  *0[1]     0.00000 0.00000    0   2485      101    508101    254050    2072      260505    2442      3       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32189  photolibraryd    0.0  00:00.08 3     2   49     1372K 0B    652K  32189 1     sleeping *0[1]     0.00000 0.00000    501 2563      199    159       55        911       337       358       145     1        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32188  traceroute       0.0  00:00.01 1     0   22     560K  0B    220K  32188 31331 sleeping *0[1]     0.00000 0.00000    501 435       84     51        19        227       107       99        0       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32187  trustdFileHelper 0.0  00:00.05 4     3   36     3600K 0B    584K  32187 1     sleeping  0[0]     0.00000 0.00000    0   1714      114    95        39        637       206       384       0       4        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32186  trustd           0.0  00:00.07 2     1   26     988K  0B    116K  32186 1     stuck     0[0]     0.00000 0.00000    205 1663      127    102       34        612       233       346       2       8        0.0   0      0      _locationd             N/A    N/A   N/A   N/A   N/A   N/A  
32185  sandboxd         0.0  00:00.03 3     2   26     976K  0B    640K  32185 1     sleeping *0[1]     0.00000 0.00000    0   1273      140    95        36        725       206       126       17      2        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32184  cfprefsd         0.0  00:00.02 2     1   26     496K  0B    308K  32184 1     sleeping  0[0]     0.00000 0.00000    205 645       86     113       40        372       242       171       14      5        0.0   0      0      _locationd             N/A    N/A   N/A   N/A   N/A   N/A  
32183  AssetCacheLocato 0.0  00:00.08 3     2   50     1100K 0B    792K  32183 1     sleeping *0[60]    0.00000 0.00000    501 2101      142    216       108       1865      522       562       1       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32182  secinitd         0.0  00:00.08 3     2   41     936K  0B    628K  32182 1     sleeping  0[0]     0.00000 0.00000    205 1758      117    120       42        745       258       412       4       10       0.0   0      0      _locationd             N/A    N/A   N/A   N/A   N/A   N/A  
32181  com.apple.geod   0.0  00:00.01 1     0   22     552K  0B    536K  32181 1     sleeping  0[0]     0.00000 0.00000    205 680       116    88        33        434       185       115       0       2        0.0   0      0      _locationd             N/A    N/A   N/A   N/A   N/A   N/A  
