Video ID,Playlist Video Creation Timestamp
Rmmm4oraikM,2023-03-08T16:42:31+00:00
fYC8V36xPBQ,2023-03-08T16:45:16+00:00
MckiHpMgz2E,2023-03-08T16:47:38+00:00
UvjeWcaDIiM,2023-03-08T16:58:12+00:00
wgmrxSrVc-0,2023-03-08T17:04:59+00:00
kauCzrwGk6A,2023-03-08T17:14:35+00:00
9qlm3iMBquU,2023-03-08T19:21:49+00:00
zZZ4_nKT0pU,2023-03-08T21:15:49+00:00
Xv7nA4ZaYrQ,2023-03-11T00:27:43+00:00
ELUBrhKiGGs,2023-03-11T00:30:26+00:00
AcG4gs7PDvs,2023-03-11T00:34:04+00:00
ohmgatcPluE,2023-03-11T00:35:27+00:00
aCzFSygSmbU,2023-03-11T00:40:54+00:00
bWcNSNAH2pQ,2023-03-11T00:42:07+00:00
DWc2vvf1fsM,2023-03-11T03:06:48+00:00
GrzQtyKhTc0,2023-03-15T17:17:51+00:00
cr2unkpp2Bc,2023-03-18T02:22:50+00:00
c9D2SMcfOaY,2023-03-26T01:12:57+00:00
cqelAXiafHc,2023-03-26T01:25:39+00:00
8QGSor0H8jc,2023-03-26T04:08:28+00:00
vL1h-Eg4TsU,2023-03-26T08:27:59+00:00
KIH44WOSda0,2023-03-26T08:29:10+00:00
KA4z9NV9FOQ,2023-03-26T08:29:35+00:00
rWpEbF1kALo,2023-03-26T10:09:21+00:00
cUgP9vwhR20,2023-03-26T10:09:45+00:00
YXm0pkYXB5s,2023-03-26T16:57:33+00:00
yb3yaYjJVeU,2023-03-27T04:58:49+00:00
GV-Lg6oBkb0,2023-03-27T04:59:44+00:00
WbTFXflBZdo,2023-03-27T05:12:55+00:00
 -iIdTTlQ6Tk,2023-03-28T18:54:01+00:00
U6wAUetq41A,2023-03-28T18:56:58+00:00
AzXzxWmclUU,2023-03-28T18:59:16+00:00
2FwRucWG81c,2023-10-16T16:31:58+00:00
fc0i4g1VGwo,2023-10-16T16:33:22+00:00
ePHps6ix86g,2023-10-16T16:34:44+00:00
eelx1kl1MPs,2023-10-16T16:35:59+00:00
oNl1XLG9-sc,2023-10-16T16:37:25+00:00
LA1b83H9RY8,2023-10-16T16:38:45+00:00
Q_QdVfYnLmI,2023-10-16T16:42:07+00:00
MRKLXrbw_UQ,2023-10-16T16:43:03+00:00
gwxfJ1nirnI,2023-10-16T16:44:08+00:00
k1s-CW4aM7Y,2023-10-16T16:45:20+00:00
tXKOwefI10s,2023-10-27T15:03:35+00:00
0B8Gvd9kt_8,2023-10-27T15:30:17+00:00
xIgAjM2KwzA,2023-10-27T15:31:49+00:00
mkX9W3I2qgM,2023-10-27T16:23:36+00:00
ZHPSsfFsmu0,2023-10-27T16:24:50+00:00
nrNHOxt2S7g,2023-10-27T16:27:05+00:00
Tk2mkPI4sK4,2023-10-27T16:28:38+00:00
NWJIYv14aH8,2023-11-06T21:25:22+00:00
pCqiKJjO5fA,2023-11-06T21:34:19+00:00
bX04LbOJMsk,2023-11-11T17:56:16+00:00
Lgb-ny12OTY,2023-11-11T18:15:01+00:00
uLjfCYiwVtk,2023-11-20T22:19:01+00:00
x7VslKmnGtg,2023-11-20T22:24:46+00:00
cwJhPRlyLa8,2023-11-20T22:25:18+00:00
_j2068NZg8E,2023-11-20T22:46:28+00:00
XBoihBDOTMY,2023-11-20T22:48:08+00:00
G13HgvY9jkc,2023-11-20T22:48:32+00:00
wSHovtBxT4M,2023-11-20T22:48:55+00:00
cu-NpUvfsQk,2023-11-20T22:52:11+00:00
hN2AXMkNHIg,2023-11-20T22:52:48+00:00
jD0iJeCN5uc,2023-11-20T22:53:08+00:00
iy1Kyi3UJik,2023-11-20T22:53:37+00:00
O6gZlkLGFsk,2023-11-20T22:54:02+00:00
CcRQ-YSZmf0,2023-11-20T22:55:20+00:00
lzXvh2HBJsY,2023-11-20T22:56:02+00:00
cT1wbJ6wQMI,2023-11-20T22:56:23+00:00
Iher8zBKfFA,2023-11-20T22:56:58+00:00
xJ6z3Rdo9MQ,2023-11-20T23:01:01+00:00
ZZ5d7y2Zynk,2023-11-21T21:24:01+00:00
WR89mx5WVwU,2023-11-21T21:25:18+00:00
D4bvItBnJdg,2023-11-21T21:27:24+00:00
WBq-LJoSNIY,2023-11-21T21:28:40+00:00
XdJz0vMRG4w,2023-11-21T21:31:38+00:00
m3SFdxvuArU,2023-11-21T21:36:57+00:00
cg0lVVew46I,2023-11-21T21:37:36+00:00
ubj7fJCXKH0,2023-11-21T23:53:01+00:00
aBC01CHzDPQ,2023-11-21T23:58:28+00:00
YJ6r6CJKqNA,2023-11-21T23:58:49+00:00
XDvcu7vFpNQ,2023-11-21T23:59:15+00:00
eddkwmCGLqI,2023-11-22T00:19:09+00:00
lbR5N96n7kw,2023-11-22T00:19:30+00:00
