Playlist ID,Add new videos to top,Playlist Description (Original),Playlist Image 1 Create Timestamp,Playlist Image 1 URL,Playlist Image 1 Height,Playlist Image 1 Width,Playlist Image 2 Create Timestamp,Playlist Image 2 URL,Playlist Image 2 Height,Playlist Image 2 Width,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PLKuEX1pHu60qgiCMqib3ncoxCYS4CCl8D,False,"We have Bernie vans (parody of minivans) patrolling South Shore, Chicago, USA, North America, Earth. They are busy today hunting down little X Musk's R.N.C. and Heritage Psychiatric (cf. Slow Burn Year One, Siberia USA) vans running around out of control - BERNIE LARGER (WE'RE ALL MAD HERE; TAKE THE PILL THAT MAKES US LARGER)! A Yellowstone Landscaping (plant trees) truck drove by today with smiles and NPR is promoting the pollinators (North Branch Natives - Ivanka and Lara Trump). I want Bernie (the man) to deploy monster trucks to chase him down. Part of the point is letting them, that is, they that know and use every dirty trick in the books, know we can do it to them too -  cf. You *WILL* experience testosterone in this department, just (like, ugh) give it back to them (him)! Killing Elon Musk's sex life all 2024 election year is an attainable goal. Maybe the devil (lovingly, out pet cat Elom up in the space tree - as nice as this gets, recall) will not exist in the not too FAR OUT future. I'm talking about taking Project 2025 down now before more people get badly maimed. LET'S DO IT!

CF. WEBSITE: https://github.com/maxieds/public-file-stashes/tree/main/image-gallery-collections/GooglePhotos-maxieds",,,,,,,,,Google photos - Maxieds - Github companion,,2024-06-17T20:29:21+00:00,2024-06-17T21:23:28+00:00,Date Published (Newest),Public
PLKuEX1pHu60pvfdtujcFmm659JE6EeNI0,False,,,,,,,,,,Highlights - Short playlist,,2024-02-26T20:13:03+00:00,2025-02-14T19:23:36+00:00,Manual,Public
PLKuEX1pHu60qmkMcUbEPv4g7gRx0wFXSB,False,,,,,,,,,,@Kevin2 - Continuation of the playlist that nailed Trump down over Caliweed and Stormy Daniels from a public library in Chicago,,2024-02-02T17:36:15+00:00,2025-02-14T19:26:12+00:00,Manual,Public
PLKuEX1pHu60rpgAHs9X6cg7mrUYbrEWzQ,False,,,,,,,,,,@maxie - private videos - personal use,,2023-10-10T19:26:13+00:00,2023-10-10T19:26:20+00:00,Manual,Private
PLKuEX1pHu60qzbaHgFKnQH-reqdAybANG,False,See also this video: https://youtu.be/0Oeg4tMdhs0?si=d0YeIETd6NvGWBwm (YouTube video id 0Oeg4tMdhs0),2023-10-10T22:36:48.092830852+00:00,https://yt3.googleusercontent.com/T-jdTXSPkgg98PKSNsByxcEjMK1oaRh2y8n7ni4A2BzFuePMU9zLrySRLWTSBfhM41WxZ4Sy6LM,1000,1000,2024-09-26T11:34:49.097778695+00:00,https://yt3.googleusercontent.com/L7MIWDQhEseOVpNRQ9HEk9rh2UoYWJwGRnPiKlzsp4jgPEgMekjERgs9k8fiw0aPPkbbK3aplug,1000,1000,SJSS Eulogy Cememony Playlist - From Spotify,,2023-10-10T19:25:44+00:00,2024-12-23T17:35:02+00:00,Manual,Public
PLKuEX1pHu60opajdzXCVEKuYw84gKM1MT,False,"I kissed a Trump lover (fucking fascist) I have come to know as Jason in Atlanta the night/morning of CPAC-2021. This happened at ~3AM after I made a posting to the GitHub issues page of my hacker app (CMLD) about the meaning of MAGA (WTF, about ""again"", so sayeth me). 

He grabbed me tight and passionately smooched me kiss-of-death style. I was upset. That was my first romantic kiss with a real man that I had fallen in love with years ago thinking he cared and/or gave a damn about me then. 

The question remains: I wonder if I will ever see his dumb-smart-ass again? 

The playlist describes my thoughts as I contemplate all the ways, and all of those whom with in the backseats of his Rover/Escalade combo of vehicles. 

It happens that Valentines Day 2022 marks the seven year point (as in of bad luck since) when I would have last seen him on 2015.02.14 in Seattle lurking in a plaid button down longsleeve shirt and khaki pants in my math building like a fish out of water. IDK. All I can do is wonder and leave a childish, never been kissed (ahem, lovingly laid) kiddie-style tribute to my man, the myth, the legend at his GMail doorstep for now: 

https://ibb.co/P1KH8vT

=======

Clone of the following on 2023-03-17 (pid=PLPV7hiOR4qwwRNWbz0Xac2gvvJgYz0Kbb):

https://www.youtube.com/playlist?list=PLPV7hiOR4qwwRNWbz0Xac2gvvJgYz0Kbb

=======",2023-03-17T23:21:17.676561452+00:00,https://yt3.googleusercontent.com/hZ7lkUFVOGcvvdA51hvrCAFfXFnUKd2yY-ijgPA_mWe0goflcWaLN4LKejqNVJxyLKQk5tylFYLt,1000,1000,,,,,Here's to kiss 2 through N (Saccharine Tribute to Jason Playlist) - Valentines Day 2022 - Check out the cutesy grade schooler type invite card,,2023-03-17T23:16:57+00:00,2023-03-18T01:58:41+00:00,Manual,Public
PLKuEX1pHu60pYMydCZNtRDJ0NJbhR8I-H,False,,2023-03-08T21:25:08.11552948+00:00,https://yt3.googleusercontent.com/iJCPD9joR2M3JwiloXogwKi2kqMOQFiiU6UETJ-7ZUBdUJcFXBYCoyjmTKlsloaAugKD3XNzO9Y,1000,1000,,,,,Maxieds - Spotify - Add Relevant Playlist Entries,,2023-03-08T21:25:06+00:00,2023-03-08T21:25:08+00:00,Manual,Public
PLKuEX1pHu60q0PMDrMWQM9a2GNeJYYmQQ,False,,,,,,,,,,Maxieds - @mds6800 - YouTube - All Video Uploads,,2023-03-08T17:43:06+00:00,2024-03-27T21:18:42+00:00,Manual,Public
PLKuEX1pHu60pPObUmaxQAfSkJpgPuVVpA,False,An unprioritized public laundry listing of relevant videos that are not covered by the other public playlists in this channel. Make what you will.,,,,,,,,,MDS - Favorite and Otherwise Topical Video Clips,,2023-03-08T17:15:29+00:00,2025-02-14T19:23:39+00:00,Manual,Public
PLKuEX1pHu60ora2BpfYO6qsQENGbe02MC,False,"Free Kevin, Fuck Trump!!! 

Paraphrasing some rambling over email to good friendly beings we know: This is (yet another) friendly reminder that God hates the Republicans. Loki, getting very closer to finally leaving the asshole; Emmanuel, in the asshole; it has been communicated that you're staying by this point.

This post is for my father: https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1722385007 (LINK DESCRIPTION: GitHub-maxieds-ChameleonMiniLiveDebugger-issues-26-issuecomment_1722385007 - last post in the famous thread).

These videos were posted in a blur from Florida in March of 2023. After death threats from the NYC mob wives and supervision from Iliinois sourced military and FBI, I was thrown into the middle of an impromptu VR game at the local international airport (WIFI tag: PNS Airport Hangar -- no kidding). Five days in total awake later, I finally slept for the first time past airport security. My beloved cat child Kushy's ghost was in my lap on the strange flight. My flight into Atlanta was into the custody of UNICEF in a wheelchair. A man in a Raiders ski hat spooked me into leaving on the flight the next morning feeling shaky and with blessing of the UNICEF personnel to stay as long as I needed (3-5 days would not have been abnormal). Stalking persisted into Greensboro with near murder by NASCAR celebrities dressed as airport police with an AK assault rifle in the front of their marked car. Yet another 3-4 days (paranoia is Darwinian, indeed) awake and mobile computing with the darkweb VPN'ed ipad outside a library with appropos print fodder from local civil rights heroes and sightings of Chewbacca / StarWars-like space craft (not commercial, for sure) and yet more personable cats led me to leave. The barrage of stalker aggression still has not ended. More people here seem to be on my side at any rate, but very, very weary (fearful even) of what Trump and his base would do to any one individual for helping me out (those that would like to). I suppose the short-term strategy is to let these violent sociopaths pick off liberal (not in the way they backhandedly characterize Jane Fonda as such) opponents (intellectuals, minorities, women, etc.) one by one instead of standing up in unison to oppose this threat. My argument is more like the 1960's era mass public ingestion of LSD-laced sugar cubes simultaneously somewhere near Berkeley, CA when my father had longer hair.  

This madness and very sincere threats from militant far right Republicans that have moved towards the political center of the USA really needs to end stat. This is fascism, not democracy, and they're not even hiding their hands at this point. I do not understand why finding lawyers to deal with this inter-state ordeal has so far been this hard. This part will definitely end soon. I / we are going to find a way to make Trump and his ilk (like Musk) understand in no uncertain terms to back off. I want to say this as pay the penalty for pissing of the mathematician and her cats (with reference to Alice in Wonderland and the 'Rawlins WY' safari hospitality encounter with the lovable, and very strikingly beautiful, Cheshire cat who will play the game in a bored round of cards with good cohort). 

Let's all repeat: Free Kevin, and Fuck Trump!!! This is very important.

================

Hack-eeerr-rs: Always a problem. Phreakers, we train them on the cookbook. HACKERS are consistently a pain in our as-ses!! Do not let adult children lie to you. This is a great thing to tell growing human kids :)",,,,,,,,,@Kevin - MDS - Unlisted Videos - Legal Records Prep - More Forthcoming,,2023-03-08T16:42:17+00:00,2024-04-15T12:12:10+00:00,Manual,Public
