Post ID,Access Restriction Type,Post Update Timestamp,Image 1 Name,Image 1 Height In Pixels,Image 1 Preview Coordinates,Image 1 Width In Pixels,Image 2 Name,Image 2 Height In Pixels,Image 2 Preview Coordinates,Image 2 Width In Pixels,Image 3 Name,Image 3 Height In Pixels,Image 3 Preview Coordinates,Image 3 Width In Pixels,Image 4 Name,Image 4 Height In Pixels,Image 4 Preview Coordinates,Image 4 Width In Pixels,Image 5 Name,Image 5 Height In Pixels,Image 5 Preview Coordinates,Image 5 Width In Pixels,Post Create Timestamp,Post Publish Timestamp,Post Type,Shared Video 1 ID,Post Text
UgkxpoC17wxdq_HwTqCyPUZpkevOJl_EBpgy,Everyone,2025-01-26T21:27:31.85444+00:00,UgkxpoC17wxdq_HwTqCyPUZpkevOJl_EBpgy_image,2560,0 0.125 1 0.875,1920,,,,,,,,,,,,,,,,,2025-01-26T21:27:31.85444+00:00,2025-01-26T21:27:31.85444+00:00,Image,,"{""text"":""I was wrongfully terminated from a local branch of Chicago Public Schools for being outspoken about Trump. There will be a lawsuit (among others). This is what I'm thinking: ""},{""text"":""https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1722385007"",""link"":{""linkUrl"":""https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1722385007""}}"
UgkxJ9i2kCIdVzv5zs4xeBiIcZ6SrP1LSGxT,Everyone,2024-12-21T16:42:02.09701+00:00,,,,,,,,,,,,,,,,,,,,,2024-12-21T16:42:02.09701+00:00,2024-12-21T16:42:02.09701+00:00,Text,,"{""text"":""I want to reiterate that the mark of the beast is on Trump's penis. If anyone wants to remove it before, during or after he takes office to maintain the sanctity of America, that's where you can locate it. One more time: it's on his penis.""}"
UgkxTuqIGNQr8QZxCkg4574eccZTh8zrEjpN,Everyone,2024-12-13T20:02:59.364839+00:00,UgkxTuqIGNQr8QZxCkg4574eccZTh8zrEjpN_image_1,768,0.218887 0 0.781113 1,1366,UgkxTuqIGNQr8QZxCkg4574eccZTh8zrEjpN_image_2,720,0.236457 0 0.763543 1,1366,,,,,,,,,,,,,2024-12-13T20:02:59.364839+00:00,2024-12-13T20:02:59.364839+00:00,Image,,"{""text"":""I just made my first phone call to Tony Buzzbee for help with lawsuits involving Elon Musk and Donald Trump. This is while listening to the end of the Clash at the 1983 US Festival (Mick Jone's last show with the band) playing \""Straight to Hell\"". Geiger counters really resonates with me (ask) as does Jason's Deli in the second image:  ""},{""text"":""https://www.youtube.com/watch?v=dsZks2ZxqTs&t=16s"",""videoLink"":{""externalVideoId"":""dsZks2ZxqTs"",""startTimeSeconds"":16}}"
UgkxGnHUnDbtszLUxbLKxuc4lmlgYZwQ7Vvn,Everyone,2024-11-23T20:06:03.717929+00:00,UgkxGnHUnDbtszLUxbLKxuc4lmlgYZwQ7Vvn_image_1,784,0.0393655 0 0.960635 1,851,UgkxGnHUnDbtszLUxbLKxuc4lmlgYZwQ7Vvn_image_2,720,0.236457 0 0.763543 1,1366,UgkxGnHUnDbtszLUxbLKxuc4lmlgYZwQ7Vvn_image_3,720,0.236457 0 0.763543 1,1366,,,,,,,,,2024-11-23T20:06:03.717929+00:00,2024-11-23T20:06:03.717929+00:00,Image,,"{""text"":""Happy 71st birthday to my late mom, Dr. Sarah Jane Sweat Schmidt! We love you and will always miss you, Mama. Does anyone else take offense to the old school X-Windows style X/Twitter (info/data wars) logo used by Elon Musk? X-Windows code is something my late husband, Jason Zych, would have been known for in the hacker community. Jason died with a gun shot to his belly with a swastika on his chest trying to manhandle a meth addict from my middle school who wanted to rape his pregnant wife. They're like that. Don Lemon's interview with Mr. Musk has every other remark from our pet cat Elon being a reference to me. Not right in his/their heads. :(""}"
UgkxIcjI2RXnv59xLnzs_GhPXpzQRQFZ7-68,Everyone,2024-11-22T18:39:12.218054+00:00,UgkxIcjI2RXnv59xLnzs_GhPXpzQRQFZ7-68_image_1,2560,0 0.125 1 0.875,1920,UgkxIcjI2RXnv59xLnzs_GhPXpzQRQFZ7-68_image_2,1920,0.125 0 0.875 1,2560,UgkxIcjI2RXnv59xLnzs_GhPXpzQRQFZ7-68_image_3,1280,0 0.125 1 0.875,960,UgkxIcjI2RXnv59xLnzs_GhPXpzQRQFZ7-68_image_4,1280,0 0.125 1 0.875,960,UgkxIcjI2RXnv59xLnzs_GhPXpzQRQFZ7-68_image_5,2560,0 0.125 1 0.875,1920,2024-11-22T18:39:12.218054+00:00,2024-11-22T18:39:12.218054+00:00,Image,,"{""text"":""Trump is a neo-nazi. Why has our (state) media refused to ride his ass for things like \""fake news\"" (a WWII-era Nazi propaganda word/term)? Don Lemon left CNN, our formerly so-called \""liberal\"" news outlet. They let him do it/win. I'm unhappy with the swing voter-ship. Every other topic on Don's show or NPR references what I've done. How did this happen?""}"
Ugkx--ubJ-fdrNtpSshOTj4x8hukOem3cS65,Everyone,2024-11-05T21:21:18.776585+00:00,,,,,,,,,,,,,,,,,,,,,2024-11-05T21:21:18.776585+00:00,2024-11-05T21:21:18.776585+00:00,Video,z4QSVuzdIrA,"{""text"":""What about Trump's Nazi rally at NYC's Madison Square Garden last week? Melania endorses Harris? BULLSHIT! Here's Hulk Hogan denying it. What does he mean by BROTHER: ""},{""text"":""https://www.youtube.com/watch?v=z4QSVuzdIrA"",""videoLink"":{""externalVideoId"":""z4QSVuzdIrA""}}"
UgkxSCKtFxPxNVa_AiYd_tKw5EvAUAkghs7d,Everyone,2024-11-05T19:37:47.374177+00:00,UgkxSCKtFxPxNVa_AiYd_tKw5EvAUAkghs7d_image_1,1920,0.125 0 0.875 1,2560,UgkxSCKtFxPxNVa_AiYd_tKw5EvAUAkghs7d_image_2,1920,0.125 0 0.875 1,2560,UgkxSCKtFxPxNVa_AiYd_tKw5EvAUAkghs7d_image_3,1014,0 0.263314 1 0.736686,480,UgkxSCKtFxPxNVa_AiYd_tKw5EvAUAkghs7d_image_4,1920,0.125 0 0.875 1,2560,UgkxSCKtFxPxNVa_AiYd_tKw5EvAUAkghs7d_image_5,1014,0 0.263314 1 0.736686,480,2024-11-05T19:37:22.585675+00:00,2024-11-05T19:37:22.585675+00:00,Image,,"{""text"":""McDonald is my cousin's x-husband. He is Trump's family. He took me down, kidnapping me out of the country, without knowing my late father had set me (the boy, of his two daughters; aka, the smart one) on a special operations (ops) mission. He was reading my dad's Florida state election official manual. I remember commenting about what BS it is that they accept a non-photo-id debit card for voting ID. He will be there in Pensacola, where my dad, Dr. Donald Eugene Schmidt, was murdered after eulogizing my mother, Dr. Sarah Jane Sweat Schmidt, on FRIDAY, May 13, 2022, dressed as my dad. FUCK HIM! FUCK TRUMP!!!\n\nRelevant links:\n(1) ""},{""text"":""https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1722385007"",""link"":{""linkUrl"":""https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1722385007""}},{""text"":""\n(2) ""},{""text"":""https://www.youtube.com/watch?v=0Oeg4tMdhs0"",""videoLink"":{""externalVideoId"":""0Oeg4tMdhs0""}},{""text"":""\n(3) (dedication) ""},{""text"":""https://arxiv.org/abs/2209.12287"",""link"":{""linkUrl"":""https://arxiv.org/abs/2209.12287""}},{""text"":""\n(4) ""},{""text"":""https://www.youtube.com/watch?v=kauCzrwGk6A"",""videoLink"":{""externalVideoId"":""kauCzrwGk6A""}}"
UgkxdWQOv7Yv0rkk6570emhmpJhkRCkEcjAN,Everyone,2024-11-02T18:47:37.578755+00:00,UgkxdWQOv7Yv0rkk6570emhmpJhkRCkEcjAN_image_1,1920,0.125 0 0.875 1,2560,UgkxdWQOv7Yv0rkk6570emhmpJhkRCkEcjAN_image_2,1920,0.125 0 0.875 1,2560,UgkxdWQOv7Yv0rkk6570emhmpJhkRCkEcjAN_image_3,2560,0 0.125 1 0.875,1920,,,,,,,,,2024-11-02T18:46:50.00342+00:00,2024-11-02T18:46:50.00342+00:00,Image,,"{""text"":""Has Trump ever had consensual sex before? I saw Stormey Daniels twice last week on the CTA. She is very warm and smiled at me. What am I going to say when they put me up to this? Trump raped her. She signed a NDA for a lot of money. THAT PORN STAR HAS HIV!?! He did that: (Barack - bloody hand hitting Trump for the racial slur in his oval office) BOY! DID I TELL YOU THAT YOU COULD STAND??? \n\r\nHe's going to call the police on POTUSA? Get his dumb ass down to the holding cell in my wine cellar NOW! I have some legal briefs to write! Trump had to go to his 2016 inauguration with girly cover-up to be videoed on his BAD (RIGHT) side because of the black eye. My version of his binding document for Trumpy's soul is better:\r\n- Here's for all the souls you claim you have;\r\n- Here's for all the ones you actually have;\r\n- Here's for your soul. INITIAL HERE...\r\n\n\r\nThat's right, ladies and gentlemen. Barack Obama possesses Donald J. Trump's soul. In print, in triplicate.\r\n\r\nN.b., Jared (Reyes) is a man whore. I do not judge HER: penis meet ladies; ladies meet penis; we'll be on film! :)""}"
UgkxhP4h5Vl6tSDvS5ZtLiEekQy-2CdXuMRB,Everyone,2024-11-02T18:19:32.180589+00:00,,,,,,,,,,,,,,,,,,,,,2024-11-02T18:18:54.846937+00:00,2024-11-02T18:18:54.846937+00:00,Text,,"{""text"":""We pissed out pet cat Elon off yesterday (Watergate and Hell up port 53 - back orrifice). CONFIRMED! The goal was to kick him off his own GOD DAMN platform before the election (2024). He (devil's son; teenage Satan in training) destroyed my backpack. It's taped shut. I'm getting a USAF backpack to replace it. Ships next week. ARMY ASSHOLES AND AIR FORCE JERKS as my high ranking old man would have said. On the day of the dead (today), FUCK TRUMP comes out of Don as a woman... With his middle finger attached; That means penis, Trumpy; THAT'S A WARNING!!!""}"
UgkxtZaZtrz_HbBZxUhE00nBYkoPZKE9ROVy,Everyone,2024-11-01T16:35:43.570717+00:00,UgkxtZaZtrz_HbBZxUhE00nBYkoPZKE9ROVy_image_1,1920,0.125 0 0.875 1,2560,UgkxtZaZtrz_HbBZxUhE00nBYkoPZKE9ROVy_image_2,1920,0.125 0 0.875 1,2560,UgkxtZaZtrz_HbBZxUhE00nBYkoPZKE9ROVy_image_3,1920,0.125 0 0.875 1,2560,UgkxtZaZtrz_HbBZxUhE00nBYkoPZKE9ROVy_image_4,2560,0 0.125 1 0.875,1920,UgkxtZaZtrz_HbBZxUhE00nBYkoPZKE9ROVy_image_5,2560,0 0.125 1 0.875,1920,2024-11-01T16:35:43.570717+00:00,2024-11-01T16:35:43.570717+00:00,Image,,"{""text"":""I told my friends I will think of something to piss our pet cat Elon off before the election (he needs to be neutered). Let me recall him trying to back over me with his Beamer in Albuquerque in reverse, backing forward then back multiple times. I grabbed a sharp rock and popped his tire - you'll be unhappy when I get in the car. I know you guys are doing documentary footage stuff. Do you have video of this somewhere? The car chase is spectacular (by all means). I want the look on his face when I try to pop the second tire and he has to leave! Maybe someone can create an AI re-creation until we locate the real video? That's different than the way he does things. FUCK (THEM) TRUMP!!!""}"
