Video ID,Video Recording Address,Video Recording Date,Video Recording Altitude,Video Recording Latitude,Video Recording Longitude,Place ID derived from Google's Places API
UvjeWcaDIiM,,2023-02-28T00:00:00+00:00,0,0,0,
Rmmm4oraikM,Pensacola,2023-03-06T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
fYC8V36xPBQ,Pensacola,2023-03-06T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
MckiHpMgz2E,Pensacola,2023-03-07T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
wgmrxSrVc-0,Pensacola,2023-03-06T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
9qlm3iMBquU,Pensacola,2023-03-06T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
zZZ4_nKT0pU,Pensacola,2023-03-08T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
Xv7nA4ZaYrQ,Pensacola,2023-02-28T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
ELUBrhKiGGs,Pensacola,2023-02-28T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
AcG4gs7PDvs,Pensacola,2023-02-28T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
ohmgatcPluE,Pensacola,2023-02-28T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
aCzFSygSmbU,Pensacola,2023-02-28T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
bWcNSNAH2pQ,Pensacola,2023-02-28T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
pCqiKJjO5fA,Pensacola,2023-02-28T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
DWc2vvf1fsM,,,0,0,0,
GrzQtyKhTc0,Pensacola,2023-03-07T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
cr2unkpp2Bc,Pensacola,,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
c9D2SMcfOaY,Pensacola,2023-03-25T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
cqelAXiafHc,Pensacola,2023-03-25T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
8QGSor0H8jc,Pensacola,2023-03-25T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
KA4z9NV9FOQ,Pensacola,,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
KIH44WOSda0,Pensacola,,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
vL1h-Eg4TsU,Pensacola,2023-03-26T00:00:00+00:00,0,30.4213,-87.2169,ChIJu6rLrEW_kIgRfGV5MW6axqc
rWpEbF1kALo,,,0,0,0,
cUgP9vwhR20,,,0,0,0,
