Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
bir7RyCI4Fo,2024-06-11T19:20:04.837275+00:00,,"ABQ LaVentana (McDonald) apartment - Kush, American cat in Bogota - Good memory last months together",2024-06-11T19:20:04.837275+00:00
pIsGHwP_zoM,2024-06-17T21:14:06.669662+00:00,"When predators do not bother to hide things like surveillance in your personal residence, they will kill you, right? I stopped breathing in Casper in a Tesla car rigged to pump nitrous and carbon monoxide gas in a sick VR game for psychos. I talked to God (I do not like the lack of continuity). Then I gasped and grabbed for Kush (American cat) and huddled under a blanket I luckily bought at Bed Bath and Beyond the night before in a subzero blizzard. The animal control people there are good with me. FUCK TRUMP!!!",ABQ LaVentana (McDonald) apartment - Obvious surveillance - VID_20221005_142003062,2024-06-17T21:14:06.669662+00:00
S2odyyNW1B0,2024-06-17T21:13:31.102711+00:00,"When predators do not bother to hide things like surveillance in your personal residence, they will kill you, right? I stopped breathing in Casper in a Tesla car rigged to pump nitrous and carbon monoxide gas in a sick VR game for psychos. I talked to God (I do not like the lack of continuity). Then I gasped and grabbed for Kush (American cat) and huddled under a blanket I luckily bought at Bed Bath and Beyond the night before in a subzero blizzard. The animal control people there are good with me. FUCK TRUMP!!!",ABQ LaVentana (McDonald) apartment - Obvious surveillance - VID_20221005_142047056,2024-06-17T21:13:31.102711+00:00
HiAoyhC9Hsw,2024-06-17T21:12:37.384864+00:00,"When predators do not bother to hide things like surveillance in your personal residence, they will kill you, right? I stopped breathing in Casper in a Tesla car rigged to pump nitrous and carbon monoxide gas in a sick VR game for psychos. I talked to God (I do not like the lack of continuity). Then I gasped and grabbed for Kush (American cat) and huddled under a blanket I luckily bought at Bed Bath and Beyond the night before in a subzero blizzard. The animal control people there are good with me. FUCK TRUMP!!!",ABQ LaVentana (McDonald) apartment - Obvious surveillance - VID_20221005_145147380,2024-06-17T21:12:50.594195+00:00
 -gZzD6sIcSg,2024-06-17T21:09:21.675739+00:00,"When predators do not bother to hide things like surveillance in your personal residence, they will kill you, right? I stopped breathing in Casper in a Tesla car rigged to pump nitrous and carbon monoxide gas in a sick VR game for psychos. I talked to God (I do not like the lack of continuity). Then I gasped and grabbed for Kush (American cat) and huddled under a blanket I luckily bought at Bed Bath and Beyond the night before in a subzero blizzard. The animal control people there are good with me. FUCK TRUMP!!!",ABQ LaVentana (McDonald) apartment - Obvious surveillance - VID_20221005_145247030,2024-06-17T21:12:16.096462+00:00
jYVRIDLznWU,2024-06-17T21:08:25.607956+00:00,,ABQ LaVentana (MCDonald) apartment -  Semen on my toothbrush?!? - VID 20221005_145302117,2024-06-17T21:08:25.607956+00:00
0oPzpoZTBgg,2024-06-17T15:59:42.22663+00:00,,ABQ LaVentana (McDonald) apartments - Screwed up mock CSI for sexual predators - 10/13/2022,2024-06-17T15:59:42.22663+00:00
Lya7_jzcApY,2024-06-08T17:22:02.045552+00:00,MIB at/near Area51: We're here if you need us. Some Russian special ops came in dressed in my bright spring plaid shirt to brush by me holding my breath to get down the elevator when chloroform cannisters were released by these right-wing nut jobs. He returned the shirt and helped me get through Yellowstone (nice on the Ocean's Eleven food reference :)) with some hints about blockers and broadcasts in that scary area. It is what it is...,ABQ stalking from high school - Men in Black block to shoot - Hitchcock scence - 20221022_011454560,2024-06-08T18:19:46.099395+00:00
gejiIpkza_0,2024-06-08T17:19:35.331598+00:00,,Driving like a bat out of Hell over a spaceship into 'Rawlins WY) - 20221102_230557075,2024-06-08T17:19:35.331598+00:00
Tz-CoK_u-HY,2024-06-08T17:17:57.288841+00:00,,Into Yellowstone Casper Maverick Gas Station - Obligatory Simpson's reference - 20221108_154746910,2024-06-08T17:17:57.288841+00:00
