Video ID,Approx Duration (ms),Video Audio Language,Video Category,Video Description (Original),Video Description (Original) Language,Channel ID,Video Title (Original),Video Title (Original) Language,Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
No8pBXu7uG8,13000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Albuquerque 08/31/2022 - Purple square light I - Anti-semitic, Unicode symbol for royalty",en-US,Unlisted,Processed,2023-11-30T20:34:34+00:00,2023-11-30T20:55:30+00:00
06oakLhmv6A,36000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,gtDMMB MathBio RNA - Profiling web GUI demo exports,en-US,Unlisted,Processed,2023-11-30T20:40:35+00:00,2023-11-30T20:45:13+00:00
KhKDnKRswH8,43000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,gtDMMB MathBio RNA - Profiling web GUI demo,en-US,Unlisted,Processed,2023-11-30T20:40:36+00:00,2023-11-30T20:44:26+00:00
ol6jHabiqoU,44000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Moto Demo - Old Moto Droid phone factory video,en-US,Unlisted,Processed,2023-11-30T20:40:37+00:00,2023-11-30T20:53:04+00:00
wsY_KFG6s_w,179000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Motorola Verizon Messages How To - Old Moto Droid phone factory video,en-US,Unlisted,Processed,2023-11-30T20:40:39+00:00,2023-11-30T20:43:19+00:00
KcI9eagtwDQ,119000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Motorola My Verizon Mobile - Old Moto Droid phone factory video,en-US,Unlisted,Processed,2023-11-30T20:40:42+00:00,2023-11-30T20:42:26+00:00
v-T2RheEw2c,60000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Mario plumber anti-Semitic points - Free Princess P ! - Version I,en-US,Unlisted,Processed,2023-12-23T19:05:06+00:00,2023-12-23T19:24:53+00:00
XiJYU1abapA,35000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Mario plumber anti-Semitic points - Free Princess P ! - Version II,en-US,Unlisted,Processed,2023-12-23T19:05:19+00:00,2023-12-23T19:23:56+00:00
L8Xwh6tcB3U,171000,zxx,People,"Go into an AutoZone store and look around. My experience was after heavy drugging when they tried to euthanize me as a federal employee on Federal Blvd (outsidr JENNY's Market) near Denver, COL (Bogota, Colombia, USA, North America, Earth, Milky Way Galaxy) tunneled Vietnam dynamite style underneath the ice of Antarctica - Visit Atlantis). The Tesla car navigation video is revealing. I have to find a way to report remembering the FBI raids of Trump's MarAlago resort and golf course (where he was performing late night stand up comedy routines underneath a BUNKER - like Hitler - hole - near Miami, NOTTalahassee, Florida) where they held hostage and eventually executed them AND their families for the raid during COVID in Atlanta (the times are hazy because I was being heavily drugged by a key neighbor at the time). Mike Pence was there waiting for Trump on a plane from DC. The real (accurate) WSJ headline last month about Trump and a praise-worthy Musk was shockingly Hitler/Nazi-esque and taken not outside an Atlanta nor Manhattan courthouse, but the White House. So, the Democrats of Biden's Administration (Spotify hidden signal channel keyword; also Trump; One Direction's Beautiful) just let them all inside their HQ to pose for picture like that? Bullsh-t!! I don't buy that either!",en-US,UCqSYEc4R7Vp4h233TQECEIw,iHEAR (aXis/matriX/Xplore) device (L/R) - Hidden traces - Making friends with a female spider,en-US,Unlisted,Processed,2023-12-23T19:09:17+00:00,2023-12-23T19:22:16+00:00
j6AnrqeWRes,674000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,ChimeraX annotated notes start - Kush II needs a loving home if I cannot adopt him - GUCCI pet BEEP!,en-US,Unlisted,Processed,2023-12-23T19:58:53+00:00,2023-12-23T20:07:46+00:00
