Video ID,Approx Duration (ms),Video Audio Language,Video Category,Video Description (Original),Video Description (Original) Language,Channel ID,Video Title (Original),Video Title (Original) Language,Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
UvjeWcaDIiM,455000,,News,"The title reference is to the Rockwell song featuring Michael Jackson. This cheered me up yesterday. The video is a screen capture of the start of the weekly CNN show available only as a podcast from Sunday, February 26, 2023. The smile on Fareed’s face when he says “Let’s get started” is worth checking out on the iTunes video episode to be posted later this week. The two references are at the following times in the clip: 0:30 and 7:31.

NB, the phrase let’s get started is a favorite start of lecture introduction for freshman CS majors at the University of Illinois at Urbana-Champaign circa 2005. See, for example, the following to complete the picture: 

» https://archive.org/details/uiuc_cs225_spring_2002_202107 (Internet Archive collection:  UIUC CS225 - Spring 2002 by Jason Zych)

This video was initially posted as unlisted from a honeymoon suite in Florida while slurping on Mountain Dew, cursing at script kiddies and archiving recent records online. In memoriam of the OpenWall (with Mexico). All this madness must end this decade (this time around). Never (ever) again! And Free Kevin:

» https://youtu.be/kauCzrwGk6A (YouTube video reference: kauCzrwGk6A)
» https://postimg.cc/VShTCx4c    🍀🍀🍀
» https://postimg.cc/T5cwH35m  📞
» https://postimg.cc/mh00g1g2
» https://postimg.cc/PCjZTHpF
» https://postimg.cc/Rq1N0XpF
» https://postimg.cc/56jLnpcn      💐
» https://postimg.cc/crjYjY0Z       🌻

Thank you, Fareed, very much for the sincerely kind gesture. Miss Vanderbilt Cooper's son is conspicuous in the zipped archives linked in the next post. Apparently, pigs can fly:

» https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1267903486 (GitHub maxieds/ChameleonMiniLiveDebugger issue #26 comment reference: 1267903486) 

It's good to know CNN is freely covering topical events in real time again. I'm trying to stay positive looking forward to the election in 2024.

» https://postimg.cc/06tTk6hZ
» https://postimg.cc/3yjvdcpJ
» https://postimg.cc/mPw5KBkR
» https://postimg.cc/pmBn8XVw
» https://postimg.cc/RNBjWpHW
» https://postimg.cc/9rWYpxDR",,UCqSYEc4R7Vp4h233TQECEIw,Fareed Zakaria GPS on CNN | 2023.02.26 - Somebody’s watching me - Let’s get started - Audio only,,Unlisted,Processed,2023-02-28T08:59:29+00:00,2023-03-04T05:13:10+00:00
Rmmm4oraikM,51000,,Science,,,UCqSYEc4R7Vp4h233TQECEIw,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Weird Password Settings - Screen Capture,,Unlisted,Processed,2023-03-08T16:22:41+00:00,2023-10-10T18:54:31+00:00
fYC8V36xPBQ,49000,,Science,,,UCqSYEc4R7Vp4h233TQECEIw,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Account Recovery Settings - Screen Capture,,Unlisted,Processed,2023-03-08T16:23:41+00:00,2023-10-10T18:54:26+00:00
MckiHpMgz2E,342000,,Science,,,UCqSYEc4R7Vp4h233TQECEIw,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.07 - Apple TV Channel Settings - Screen Capture,,Unlisted,Processed,2023-03-08T16:26:33+00:00,2023-10-10T18:54:15+00:00
wgmrxSrVc-0,92000,,Science,,,UCqSYEc4R7Vp4h233TQECEIw,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Unusual AppleID Settings - Screen Capture,,Unlisted,Processed,2023-03-08T17:01:34+00:00,2023-10-10T18:54:10+00:00
9qlm3iMBquU,3166000,zxx,Science,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.06 - Analytics + Hidden Data - Screen Capture,en-US,Unlisted,Processed,2023-03-08T19:21:32+00:00,2023-10-10T18:54:05+00:00
zZZ4_nKT0pU,19000,zxx,Science,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Teenage Mutant Ninja (US-Non-USA) iPad | 2023.03.07 - Suspicious Daily Website Data - Screen Capture,en-US,Unlisted,Processed,2023-03-08T21:15:32+00:00,2023-10-10T18:54:01+00:00
Xv7nA4ZaYrQ,365000,zxx,Government,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Casper Wyoming - Yellowstone - Selected Safari Brochure Collection Contents,en-US,Unlisted,Processed,2023-03-10T23:22:47+00:00,2023-10-10T18:53:52+00:00
ELUBrhKiGGs,346000,zxx,Government,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Legal Docs & Records - Highlands Personal Records Folder - From Imprisonment in Denver, COL",en-US,Unlisted,Processed,2023-03-10T23:27:17+00:00,2023-10-10T18:53:46+00:00
AcG4gs7PDvs,50000,zxx,Government,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Sandia National Labs (Albuquerque) - New Employee Passport Leaflet - Training and Orientation,en-US,Unlisted,Processed,2023-03-10T23:32:01+00:00,2023-10-10T18:53:41+00:00
